foodCode	canonicalName	categoryKey	sortOrder	quantityUnit	aliases	imageUrl
011301x	挂面	STAPLE	16	G	挂面条	
11312	通心面	STAPLE	17	G	通心粉	
12410	米粉	STAPLE	18	G	干米粉	
12411	河粉	STAPLE	19	G	沙河粉	
103001	酸奶	PROTEIN	16	G	原味酸奶	
043101x	茄子	VEGETABLE_FRUIT	16	G		
43212	苦瓜	VEGETABLE_FRUIT	17	G	凉瓜|癞瓜	
011305x	面条	STAPLE	25	G	鲜面条	
11401	花卷	STAPLE	26	G		
11409	油条	STAPLE	27	G		
12301	糯米	STAPLE	28	G	江米	
12101	粳米	STAPLE	29	G	大米	
12214	籼米	STAPLE	30	G	机米	
47203	芋头	STAPLE	31	G	毛芋	
47104	山药	STAPLE	32	G	薯蓣	
92104	鸭胸肉	PROTEIN	17	G	鸭胸脯肉	
91114	鸡翅	PROTEIN	18	G		
082101x	牛肉	PROTEIN	19	G		
82119	牛腱	PROTEIN	20	G	牛展|牛腱子	
121226	鲈鱼	PROTEIN	21	G	鲈花	
121203	带鱼	PROTEIN	22	G	刀鱼|白带鱼	
121123	鲫鱼	PROTEIN	23	G	喜头鱼	
121233	鲳鱼	PROTEIN	24	G	平鱼	
124201x	蛤蜊	PROTEIN	25	G	花蛤	
124111	扇贝	PROTEIN	26	G		
124103	蛏子	PROTEIN	27	G		
129008	鱿鱼	PROTEIN	28	G	枪乌贼	
129012	章鱼	PROTEIN	29	G	八爪鱼	
46010	莲藕	VEGETABLE_FRUIT	18	G	藕	
43213	南瓜	VEGETABLE_FRUIT	19	G	倭瓜|番瓜	
43221	冬瓜	VEGETABLE_FRUIT	20	G		
43218	西葫芦	VEGETABLE_FRUIT	21	G		
45331	芹菜	VEGETABLE_FRUIT	22	G	旱芹	
45332	西芹	VEGETABLE_FRUIT	23	G	西洋芹菜|美芹	
44404	韭菜	VEGETABLE_FRUIT	24	G		
45216	菜花	VEGETABLE_FRUIT	25	G	花椰菜	
45201	卷心菜	VEGETABLE_FRUIT	26	G	圆白菜|包菜	
44301	洋葱	VEGETABLE_FRUIT	27	G	葱头	
44107	蒜薹	VEGETABLE_FRUIT	28	G	蒜苔	
42104	豆角	VEGETABLE_FRUIT	29	G		
42120	四季豆	VEGETABLE_FRUIT	30	G	菜豆|芸豆	
42202	黄豆芽	VEGETABLE_FRUIT	31	G		
42206	绿豆芽	VEGETABLE_FRUIT	32	G		
42208	豌豆苗	VEGETABLE_FRUIT	33	G		
061201x	梨	VEGETABLE_FRUIT	34	G		
062101x	桃	VEGETABLE_FRUIT	35	G	桃子	
43120	小番茄	VEGETABLE_FRUIT	36	G	樱桃番茄|小西红柿	
31506	油豆腐	BEAN	16	G		
31509	千张	BEAN	17	G	百页	
31501	豆腐丝	BEAN	18	G		
42115	芸豆	BEAN	19	G		
42118	扁豆	BEAN	20	G		
39301	豌豆	BEAN	21	G		
35101	蚕豆	BEAN	22	G		
