food_code,food_name,energy_kcal,energy_kj,carbohydrate_g,protein_g,fat_g,source_file
11101,小麦,338,1416,75.2,11.9,1.3,中国食物成分表_标准版_第一册.md
11102,五谷香,378,1580,78.9,9.9,2.6,中国食物成分表_标准版_第一册.md
011201x,小麦粉（代表值）,359,1512,74.1,12.4,1.7,中国食物成分表_标准版_第一册.md
11202,小麦粉（富强粉，特一粉）,351,1467,75.2,10.3,1.1,中国食物成分表_标准版_第一册.md
11203,小麦粉（特二粉）,352,1472,75.9,10.4,1.1,中国食物成分表_标准版_第一册.md
11204,小麦胚粉,403,1687,44.5,36.4,10.1,中国食物成分表_标准版_第一册.md
11205,麸皮,282,1181,61.4,15.8,4,中国食物成分表_标准版_第一册.md
11206,小麦粉（标准粉）,362,1531,70.9,15.7,2.5,中国食物成分表_标准版_第一册.md
11207,小麦粉（富强粉、特一粉）,362,1534,74.9,12.3,1.5,中国食物成分表_标准版_第一册.md
11208,小麦粉（特制）,366,1554,73.5,13.3,2.2,中国食物成分表_标准版_第一册.md
011301x,挂面（代表值）,353,1483,75.1,11.4,0.9,中国食物成分表_标准版_第一册.md
11302,挂面（标准粉）,348,1454,76,10.1,0.7,中国食物成分表_标准版_第一册.md
11304,挂面（精制龙须面）,348,1455,74.7,11.2,0.5,中国食物成分表_标准版_第一册.md
011305x,面条（生，代表值）,301,1262,65.6,8.9,0.6,中国食物成分表_标准版_第一册.md
11306,面条（标准粉，切面）,283,1186,59.5,8.5,1.6,中国食物成分表_标准版_第一册.md
11308,面条（特粉，切面）,287,1200,64.5,7.3,0.1,中国食物成分表_标准版_第一册.md
11310,面条（干切面）,355,1487,77.7,11,0.1,中国食物成分表_标准版_第一册.md
11311,面条（虾蓉面）,436,1824,68.3,8.5,15.1,中国食物成分表_标准版_第一册.md
11312,通心面[通心粉],351,1468,75.8,11.9,0.1,中国食物成分表_标准版_第一册.md
11313,挂面（富强粉）,363,1539,74.7,13,1.5,中国食物成分表_标准版_第一册.md
11314,龙须面（素）,359,1524,75.7,10.8,1.8,中国食物成分表_标准版_第一册.md
11315,龙须面（鸡蛋）,352,1491,71.5,14,1.8,中国食物成分表_标准版_第一册.md
11316,面条（富强粉，切面）,277,1176,60.7,8.9,0.4,中国食物成分表_标准版_第一册.md
11317,面条（富强粉，煮）,107,453,22.8,3.9,0.4,中国食物成分表_标准版_第一册.md
11401,花卷,214,895,45.6,6.4,1,中国食物成分表_标准版_第一册.md
11402,空锅饼,278,1165,60.9,8.6,0.2,中国食物成分表_标准版_第一册.md
11403,烙饼（标准粉）,258,1082,52.9,7.5,2.3,中国食物成分表_标准版_第一册.md
011404x,馒头（代表值）,223,934,47,7,1.1,中国食物成分表_标准版_第一册.md
11405,馒头（标准粉）,236,989,49.8,7.8,1,中国食物成分表_标准版_第一册.md
11407,烧饼（加糖）,298,1245,62.7,8,2.1,中国食物成分表_标准版_第一册.md
11408,油饼,403,1687,42.4,7.9,22.9,中国食物成分表_标准版_第一册.md
11409,油条,388,1624,51,6.9,17.6,中国食物成分表_标准版_第一册.md
11410,花卷（加牛奶）,282,1192,58.9,6.5,3.2,中国食物成分表_标准版_第一册.md
11411,馒头（富强粉）,235,994,50.9,7.1,1.3,中国食物成分表_标准版_第一册.md
11501,水面筋,142,595,12.3,23.5,0.1,中国食物成分表_标准版_第一册.md
11502,油面筋,492,2061,40.4,26.9,25.1,中国食物成分表_标准版_第一册.md
11503,面筋（肉馅）,364,1506,0.1,16.2,33.2,中国食物成分表_标准版_第一册.md
012001x,稻米（代表值）,346,1453,77.2,7.9,0.9,中国食物成分表_标准版_第一册.md
12101,粳米（标一）,345,1442,77.4,7.7,0.6,中国食物成分表_标准版_第一册.md
